"﻿""Zupid""",sku,ProductName,ProductPrice,CurrencySymbolOfPrice,ValidFromDate,ProductShortDescription,MerchantProductCategory,ZanoxCategoryIds,ImageSmallURL,ImageMediumURL,ProductManufacturerBrand,ZanoxProductLink,DeliveryTime,TermsOfContract,ISBN,ShippingAndHandling,ShippingAndHandlingCost
56f07a4d7bf5ba29e7d50bef9d532292,0101007075C6100,Grand Vin Mendoza Cuvelier los Andes,32.00,EUR,moevenpick,"Sehr dunkles Purpurrot. Facettenreiches, ausgesprochen reiches Bukett nach blauen und schwarzen Beeren, Brombeeren und Cassis, Zartbitterschokolade, feines Karamell. Fülliger Gaumen mit einem enormen Aromenspektrum, hervorragend strukturiert, körperreich, samtene Tannine und feine Vanillenoten begleiten den langen Abgang.",Rotweine,,http://www.moevenpick-wein.de/images/1010_k.jpg,http://www.moevenpick-wein.de/images/1010.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0101007075C6100]],,,moevenpick,,
b0cc2a6bc4b7e85c90bd4c9a7b263429,0101206037B7000,Le Coeur du Château du Retout Haut-Médoc AOC,12.00,EUR,moevenpick,"Dunkles Granatviolett. Intensives Heidelbeer-, Cassis- und Brombeerbouquet mit Lakritzenoten, wirkt sehr nobel und zeigt dabei eine dramatische Tiefe. Dunkle Schokonoten im schwarzbeerigen Gaumen, die stützende Adstringenz ist muskulös, fleischig und ausgeglichen. Sehr guter Rückhalt und eine tolle Länge.",Rotweine,,http://www.moevenpick-wein.de/images/1012_new_k.jpg,http://www.moevenpick-wein.de/images/1012_new.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0101206037B7000]],,,moevenpick,,
94e5c7af9cfd81c36916efcb7a457f1d,0101206075B6000,Le Coeur du Château du Retout Haut-Médoc AOC,22.00,EUR,moevenpick,"Dunkles Granatviolett. Intensives Heidelbeer-, Cassis- und Brombeerbouquet mit Lakritzenoten, wirkt sehr nobel und zeigt dabei eine dramatische Tiefe. Dunkle Schokonoten im schwarzbeerigen Gaumen, die stützende Adstringenz ist muskulös, fleischig und ausgeglichen. Sehr guter Rückhalt und eine tolle Länge.",Rotweine,,http://www.moevenpick-wein.de/images/1012_new_k.jpg,http://www.moevenpick-wein.de/images/1012_new.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0101206075B6000]],,,moevenpick,,
23f5940f41159553212ef81126681ac0,0101206150B3000,Le Coeur du Château du Retout Haut-Médoc AOC,45.00,EUR,moevenpick,"Dunkles Granatviolett. Intensives Heidelbeer-, Cassis- und Brombeerbouquet mit Lakritzenoten, wirkt sehr nobel und zeigt dabei eine dramatische Tiefe. Dunkle Schokonoten im schwarzbeerigen Gaumen, die stützende Adstringenz ist muskulös, fleischig und ausgeglichen. Sehr guter Rückhalt und eine tolle Länge.",Rotweine,,http://www.moevenpick-wein.de/images/1012_new_k.jpg,http://www.moevenpick-wein.de/images/1012_new.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0101206150B3000]],,,moevenpick,,
a99a9d20aa859e1851f5088ebf053cc3,0103708075B7000,Château Mayne Lalande Cru Bourgeois,14.90,EUR,moevenpick,"Dunkles Rubin, satt in der Mitte. Aromatisches Kirschenbouquet, würzigen, aber reifen Cabernet zeigend mit Anklängen an Thymian und Lorbeer. Lang geformter Gaumen mit gut stützenden Tanninen, Szechuanpfeffernote sowie Zedern, dahinter Cassisnoten und Tabakblatt, tolle Balance im schön ausklingenden Finale.",Rotweine,,http://www.moevenpick-wein.de/images/1037_k.jpg,http://www.moevenpick-wein.de/images/1037.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0103708075B7000]],,,moevenpick,,
1871e48546866ab4826bae0cdc15c9e5,0104906075B7000,Château d'Aurilhac Cru Bourgeois,12.90,EUR,moevenpick,"Kräftige Rotweine sind anspruchsvolle, meist selektionierte Lagenweine mit einigen Monaten Fassausbau. Diese Premium-Weine sind perfekte Essbegleiter und bieten auch als Geschenk einen sicheren Wert.",Rotweine,,http://www.moevenpick-wein.de/images/1049_k.jpg,http://www.moevenpick-wein.de/images/1049.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0104906075B7000]],,,moevenpick,,
866b642eed5e4fd4ff9ad5ce9a596934,0106010150C3100,Grüner Veltliner Smaragd Spitzer Honivogl,99.00,EUR,moevenpick,Sehr komplexe Weissweine werden meist im Barrique ausgebaut und stammen aus den besten Selektionen. Es sind die Reservas oder Lagenweine eines Produzenten und zeigen Lagerpotential.,Weissweine,,',',,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0106010150C3100]],,,moevenpick,,
c54251434863224bcba205bdca9874ac,0106110075C6100,Riesling Federspiel Spitzer Steinterrassen,17.50,EUR,moevenpick,"Frische, fruchtbetonte Weine, mit leichtem Körper und verspieltem Gaumenfluss werden meist nicht oder nur während kurzer Zeit im Barrique ausgebaut. Es sind somit die idealen Apero- und Sommerweine.",Weissweine,,http://www.moevenpick-wein.de/images/1061_k.jpg,http://www.moevenpick-wein.de/images/1061.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0106110075C6100]],,,moevenpick,,
883cb400c36cc8947ee2a8dec581e130,0106210150C3100,Riesling Smaragd Spitzer Singerriedel,105.00,EUR,moevenpick,Sehr komplexe Weissweine werden meist im Barrique ausgebaut und stammen aus den besten Selektionen. Es sind die Reservas oder Lagenweine eines Produzenten und zeigen Lagerpotential.,Weissweine,,http://www.moevenpick-wein.de/images/1062_k.jpg,http://www.moevenpick-wein.de/images/1062.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0106210150C3100]],,,moevenpick,,
3a60db98faf89a4e119fe90e212bcced,0106405500B1000,Château Le Boscq Cru Bourgeois,225.00,EUR,moevenpick,"Sattes, dunkles Granat-Violett. Ein umwerfendes Bouquet mit blauen und schwarzen Beeren, ein Hauch verführerisches Kokos darin. Im Gaumen ein Ausbund an Fruchtsüsse, delikate Tannine, Tahiti-Vanille, Black Currant, langes gebündeltes Finale.",Rotweine,,http://www.moevenpick-wein.de/images/10645l_k.jpg,http://www.moevenpick-wein.de/images/10645l.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0106405500B1000]],,,moevenpick,,
